Listagem de informações criada por	PC
Data	05-Dec-2023 00:11:24
Peça de trabalho atual	C:\Users\PC\Desktop\nx\geometria final_fem1.fem
Nome do nó	HP


 
------------------------------------------------------------
 
              INFORMAÇÕES DE ELEMENTOS
 
------------------------------------------------------------
 
 
INFORMAÇÕES DE ELEMENTOS
  Etiqueta             | Tipo de Elemento | Malha          | Coletor de Malha | Nós Conectados
  275                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 136 24 25
  276                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 137 25 26
  277                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 136 25 137
  278                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 138 26 27
  279                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 137 26 138
  280                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 139 27 28
  281                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 138 27 139
  282                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 140 28 29
  283                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 139 28 140
  284                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 140 29 30
  285                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 141 30 31
  286                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 140 30 141
  287                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 142 31 32
  288                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 141 31 142
  289                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 144 32 33
  290                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 142 32 143
  291                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 143 32 144
  292                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 145 33 34
  293                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 144 33 145
  294                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 147 34 35
  295                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 145 34 146
  296                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 146 34 147
  297                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 148 35 36
  298                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 147 35 148
  299                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 148 36 37
  300                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 149 37 38
  301                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 148 37 149
  302                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 150 38 39
